"geography code","Region","LA","All usual residents","Age 0 to 4","Age 5 to 7","Age 8 to 9","Age 10 to 14","Age 15","Age 16 to 17","Age 18 to 19","Age 20 to 24","Age 25 to 29","Age 30 to 44","Age 45 to 59","Age 60 to 64","Age 65 to 74","Age 75 to 84","Age 85 to 89","Age 90 and over","Mean Age","Median Age"
"E06000047","North East","County Durham",513242,28574,15818,9841,27869,5882,12107,15278,35155,30628,96150,108200,35395,50883,30635,7321,3506,41,42
"E06000005","North East","Darlington",105564,6579,3790,2284,6224,1330,2721,2357,6071,6607,20917,21560,6685,9717,6172,1740,810,40.2,41
"E08000020","North East","Gateshead",200214,11869,6323,3987,10880,2439,4778,4953,12104,14059,40466,40515,12596,18608,12412,2897,1328,40.5,40
"E06000001","North East","Hartlepool",92028,5698,3202,1990,5653,1257,2570,2451,5955,5622,16869,19326,5837,8174,5568,1323,533,39.8,40
"E06000002","North East","Middlesbrough",138412,9431,5178,3098,8485,1811,3747,4506,11690,9765,25414,27065,7531,10833,7393,1658,807,37.8,37
"E08000021","North East","Newcastle upon Tyne",280177,16522,8534,5501,14488,2929,6156,13311,36012,22948,51972,48952,14133,19380,13857,3578,1904,36.9,33
"E08000022","North East","North Tyneside",200801,11732,6577,4076,10921,2407,4631,4421,10908,12411,41644,42719,13059,18096,12487,3155,1557,40.9,41
"E06000048","North East","Northumberland",316028,16003,9863,6482,17677,3841,7631,6992,16224,16187,56156,71135,24533,34366,21018,5233,2687,42.8,45
"E06000003","North East","Redcar and Cleveland",135177,7553,4362,2736,7803,1712,3608,3515,8092,7628,24120,28285,9511,14418,8721,2133,980,41.5,43
"E08000023","North East","South Tyneside",148127,8182,4619,2932,8233,1961,3735,3797,9447,8901,27436,32394,9637,13634,9632,2503,1084,41.2,42
"E06000004","North East","Stockton-on-Tees",191610,12322,6824,4149,11457,2355,5168,5296,12651,12602,37535,39652,11648,16102,10368,2429,1052,39.1,39
"E08000024","North East","Sunderland",275506,15378,8599,5534,15355,3326,6753,7708,19709,16945,52854,58541,18011,25031,16600,3576,1586,40.4,41
"E07000026","North West","Allerdale",96422,4921,2786,1920,5470,1170,2501,2119,4610,4808,17560,20920,7604,10856,6622,1687,868,43.1,45
"E07000027","North West","Barrow-in-Furness",69087,3719,2204,1437,4022,909,1872,1710,3988,3924,13124,14412,4811,7262,4118,984,591,41.3,42
"E06000008","North West","Blackburn with Darwen",147489,11278,6386,4092,10322,2289,4278,3651,9718,10951,30862,26717,7884,10356,6360,1547,798,36.2,35
"E06000009","North West","Blackpool",142065,8218,4652,2784,8052,1660,3487,3501,8529,8580,26854,29094,9415,14353,9148,2431,1307,41.3,42
"E08000001","North West","Bolton",276786,18765,10383,6495,17793,3640,7483,6799,18071,18285,56720,52967,16845,23553,13659,3652,1676,38.4,38
"E07000117","North West","Burnley",87059,5847,3211,1956,5040,1090,2221,2229,5574,5751,16979,17186,5841,7595,4606,1276,657,39.4,39
"E08000002","North West","Bury",185060,12235,6875,4233,11361,2421,4827,4297,10688,11622,37977,37272,11712,16292,9623,2397,1228,39.2,40
"E07000028","North West","Carlisle",107524,6064,3449,2066,5702,1201,2491,2898,6536,6685,20573,22715,7247,10386,6827,1782,902,41.3,42
"E06000049","North West","Cheshire East",370127,20194,12057,7687,21383,4432,9249,8398,18615,19020,72047,79230,26443,37951,23733,6347,3341,42,43
"E06000050","North West","Cheshire West and Chester",329608,18050,10742,6701,18737,3905,7904,8296,19511,18796,64058,69122,22686,32782,20387,5215,2716,41.3,42
