"geography code","Region","LA","All Categories of people in employment","Work mainly at or from home","Underground, metro, light rail, tram","Train","Bus, minibus or coach","Motorcycle, scooter or moped","Driving a car or van","Passenger in a car or van","Taxi","Bicycle","On foot","Other method of travel to work"
"E06000047","North East","County Durham",203614,16952,190,1062,15327,1256,121690,21599,1230,1888,21178,1242
"E06000005","North East","Darlington",42993,3553,35,482,4363,274,24105,3477,419,949,5085,251
"E08000020","North East","Gateshead",78786,5482,3672,529,13723,480,39442,6853,442,816,6972,375
"E06000001","North East","Hartlepool",33762,2199,44,179,2831,245,18817,3627,620,937,3935,328
"E06000002","North East","Middlesbrough",49317,3185,46,316,5543,403,27088,4852,434,1251,5791,408
"E08000021","North East","Newcastle upon Tyne",101498,7066,5591,950,19156,487,46561,7233,889,1781,11235,549
"E08000022","North East","North Tyneside",83698,6053,6979,1032,8489,623,43032,7037,835,1692,7092,834
"E06000048","North East","Northumberland",136083,14687,715,1132,8331,891,79137,11819,501,2176,15519,1175
"E06000003","North East","Redcar and Cleveland",54295,3898,48,656,4325,488,32677,4951,267,1052,5404,529
"E08000023","North East","South Tyneside",58899,3743,3983,1059,7442,434,29258,4862,323,1143,5543,1109
"E06000004","North East","Stockton-on-Tees",75904,5449,61,460,5911,690,47679,6767,346,1576,6302,663
"E08000024","North East","Sunderland",114119,7041,902,1262,17783,696,60728,11312,807,1525,11215,848
"E07000026","North West","Allerdale",41814,5117,16,172,1608,250,24272,3811,139,672,5519,238
"E07000027","North West","Barrow-in-Furness",28849,1958,12,413,2092,722,14317,2531,277,1707,4646,174
"E06000008","North West","Blackburn with Darwen",53575,4355,32,504,3875,480,30589,4946,918,622,7062,192
"E06000009","North West","Blackpool",59073,6081,239,409,5743,639,29571,5050,743,1885,8287,426
"E08000001","North West","Bolton",114415,9065,207,2740,9121,1184,68431,9436,878,1413,11587,353
"E07000117","North West","Burnley",38098,2806,18,188,3221,306,21533,4056,258,430,5165,117
"E08000002","North West","Bury",83847,6734,3632,416,6064,704,51628,5789,688,1047,6847,298
"E07000028","North West","Carlisle",46858,4645,18,179,4008,318,25440,3507,203,1262,7061,217
"E06000049","North West","Cheshire East",169143,18422,184,3187,3365,1668,110153,9792,590,5767,15270,745
"E06000050","North West","Cheshire West and Chester",149443,13767,183,1838,6388,1595,96271,10284,839,4465,12993,820
"E07000118","North West","Chorley",49200,4583,27,864,1645,489,32233,3595,198,865,4521,180
"E07000029","North West","Copeland",29222,2562,14,404,1889,243,17277,3120,133,455,2975,150
"E07000030","North West","Eden",24752,4805,17,100,557,122,13536,1438,81,330,3574,192
