"geography code","Region","LA","All Categories of people in employment","Work mainly at or from home","Underground, metro, light rail, tram","Train","Bus, minibus or coach","Taxi","Motorcycle, scooter or moped","Driving a car or van","Passenger in a car or van","Bicycle","On foot","Other method of travel to work","Not in employment"
"E06000047","North East","County Durham",227894,20652,323,1865,13732,1401,1038,146644,17362,2205,21490,1182,155902
"E06000005","North East","Darlington",49014,4180,33,828,3380,403,191,28981,3337,1151,6284,246,27621
"E08000020","North East","Gateshead",91877,6383,4270,705,13909,453,364,50236,5830,1314,7966,447,56202
"E06000001","North East","Hartlepool",37767,2473,33,469,2556,673,175,22863,3157,706,4305,357,29037
"E06000002","North East","Middlesbrough",54547,3337,44,698,4868,902,195,31155,4639,1375,6769,565,46004
"E08000021","North East","Newcastle upon Tyne",119335,8430,6304,1381,21728,1037,345,54165,6706,3223,15302,714,93529
"E08000022","North East","North Tyneside",96026,6997,8523,1385,8606,748,471,52543,5951,2345,7559,898,51863
"E06000048","North East","Northumberland",146901,17894,659,1852,7593,523,682,90566,9283,2074,14632,1143,86323
"E06000003","North East","Redcar and Cleveland",56354,4034,43,1175,3314,388,255,36281,3976,875,5335,678,42823
"E08000023","North East","South Tyneside",64622,3875,5681,1090,6194,303,341,35011,3774,1396,5749,1208,44359
"E06000004","North East","Stockton-on-Tees",87122,6376,97,1115,5023,593,410,57793,6014,1693,7101,907,53532
"E08000024","North East","Sunderland",121511,7705,2762,894,15151,740,520,70607,9356,1588,11310,878,84041
"E07000026","North West","Allerdale",46076,6025,22,374,1730,106,228,27790,3415,694,5496,196,24902
"E07000027","North West","Barrow-in-Furness",31257,2009,33,515,1593,426,542,16727,2277,1620,5302,213,19846
"E06000008","North West","Blackburn with Darwen",60523,4930,42,956,3240,1097,315,36700,4916,592,7460,275,43894
"E06000009","North West","Blackpool",61419,6173,40,512,5174,565,551,32816,4578,1916,8705,389,42394
"E08000001","North West","Bolton",123367,10086,274,4384,8200,1537,792,76681,8189,1261,11435,528,77356
"E07000117","North West","Burnley",38133,2941,20,238,3170,316,212,23316,2991,397,4375,157,25243
"E08000002","North West","Bury",88036,7689,4234,523,5671,690,455,55361,4819,1176,7094,324,46651
"E07000028","North West","Carlisle",53874,5464,30,304,3691,174,294,30673,3377,1390,8245,232,25657
"E06000049","North West","Cheshire East",181136,23337,254,4971,3267,504,1169,116931,8993,4666,16282,762,89817
"E06000050","North West","Cheshire West and Chester",160138,17178,257,3114,5477,783,1001,103898,8767,4200,14669,794,83017
"E07000118","North West","Chorley",53702,5827,34,1261,1575,135,375,36378,2941,761,4227,188,26249
"E07000029","North West","Copeland",32891,2782,18,519,1532,152,272,20877,3086,554,2958,141,19811
"E07000030","North West","Eden",27461,5771,20,206,578,67,86,15360,1311,326,3601,135,11274
"E07000119","North West","Fylde",34510,4055,32,416,1339,139,235,22153,1690,959,3325,167,20034
"E06000006","North West","Halton",57577,3696,38,1081,3787,321,351,37640,3988,1191,5221,263,35131
"E07000120","North West","Hyndburn",35993,2860,9,325,2247,360,239,23076,2576,398,3751,152,22363
"E08000011","North West","Knowsley",61691,3531,162,3448,6806,1195,275,34717,4682,962,5569,344,44464
"E07000121","North West","Lancaster",62832,6644,53,1252,3707,341,533,34942,3810,2497,8706,347,40464
"E08000012","North West","Liverpool",196630,12180,1081,9707,38027,2574,780,91570,11587,3970,23991,1163,160246
"E08000003","North West","Manchester",213705,15288,2841,5663,46652,1810,841,91871,9828,8426,29347,1138,169227
"E08000004","North West","Oldham",96300,7349,121,1115,10269,971,489,57766,7097,993,9622,508,63465
"E07000122","North West","Pendle",39324,3370,19,287,2092,353,185,24451,2868,498,5019,182,25116
"E07000123","North West","Preston",64180,5038,44,865,7148,345,418,35956,4324,1449,8299,294,39905
"E07000124","North West","Ribble Valley",28713,4070,26,304,593,47,160,19098,1303,380,2635,97,12572
"E08000005","North West","Rochdale",90753,7076,181,1804,7904,1493,465,55947,6383,910,8172,418,61989
"E07000125","North West","Rossendale",32808,3292,25,164,1872,130,218,22313,1938,236,2478,142,17267
"E08000006","North West","Salford",106904,7987,2205,1953,11786,1154,612,57767,6601,2491,13850,498,66213
"E08000014","North West","Sefton",121919,10137,512,8871,8404,1530,599,69071,7262,3176,11561,796,76278
"E07000031","North West","South Lakeland",51672,9125,34,696,933,171,268,28423,2558,1361,7843,260,24159
"E07000126","North West","South Ribble",55761,4691,32,797,2697,143,467,38169,3165,1587,3838,175,24697
"E08000013","North West","St. Helens",78580,5347,33,2355,4862,621,491,51899,5352,1092,6231,297,51004
"E08000007","North West","Stockport",137130,13362,220,6781,10988,412,754,84858,5839,2756,10637,523,68180
